,open,high,low,close,volume
2024-04-08 09:45:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 10:00:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 10:15:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 10:30:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 10:45:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 11:00:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 11:15:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 11:30:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 13:15:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 13:30:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 13:45:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 14:00:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 14:15:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 14:30:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 14:45:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-08 15:00:00,3057.326,3077.351,3045.469,3047.053,40293674000.0
2024-04-09 09:45:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 10:00:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 10:15:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 10:30:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 10:45:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 11:00:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 11:15:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 11:30:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 13:15:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 13:30:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 13:45:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 14:00:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 14:15:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 14:30:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 14:45:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-09 15:00:00,3044.614,3051.585,3033.209,3048.537,33348996500.0
2024-04-10 09:45:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 10:00:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 10:15:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 10:30:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 10:45:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 11:00:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 11:15:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 11:30:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 13:15:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 13:30:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 13:45:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 14:00:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 14:15:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 14:30:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 14:45:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-10 15:00:00,3045.961,3049.607,3013.59,3027.335,34899172100.0
2024-04-11 09:45:00,3013.573,3050.337,3009.897,3034.246,34089439200.0
