,open,high,low,close,volume
2024-07-09 13:15:00,2922.637,2951.774,2922.637,2951.532,4871142700.0
2024-07-09 13:30:00,2922.637,2951.774,2922.637,2951.532,4871142700.0
2024-07-09 13:45:00,2922.637,2951.774,2922.637,2951.532,4871142700.0
2024-07-09 14:00:00,2952.07,2963.782,2951.932,2955.061,6479365800.0
2024-07-09 14:15:00,2952.07,2963.782,2951.932,2955.061,6479365800.0
2024-07-09 14:30:00,2952.07,2963.782,2951.932,2955.061,6479365800.0
2024-07-09 14:45:00,2952.07,2963.782,2951.932,2955.061,6479365800.0
2024-07-09 15:00:00,2955.539,2959.372,2955.018,2959.372,2059429900.0
2024-07-10 09:45:00,2949.026,2956.35,2947.131,2955.325,6606552000.0
2024-07-10 10:00:00,2955.855,2958.859,2947.751,2954.487,9512114200.0
2024-07-10 10:15:00,2955.855,2958.859,2947.751,2954.487,9512114200.0
2024-07-10 10:30:00,2955.855,2958.859,2947.751,2954.487,9512114200.0
2024-07-10 10:45:00,2955.855,2958.859,2947.751,2954.487,9512114200.0
2024-07-10 11:00:00,2954.581,2956.074,2943.765,2949.662,3848584100.0
2024-07-10 11:15:00,2954.581,2956.074,2943.765,2949.662,3848584100.0
2024-07-10 11:30:00,2954.581,2956.074,2943.765,2949.662,3848584100.0
2024-07-10 13:15:00,2949.912,2949.912,2942.393,2944.89,3191580900.0
2024-07-10 13:30:00,2949.912,2949.912,2942.393,2944.89,3191580900.0
2024-07-10 13:45:00,2949.912,2949.912,2942.393,2944.89,3191580900.0
2024-07-10 14:00:00,2944.525,2946.395,2935.33,2936.996,4934577500.0
2024-07-10 14:15:00,2944.525,2946.395,2935.33,2936.996,4934577500.0
2024-07-10 14:30:00,2944.525,2946.395,2935.33,2936.996,4934577500.0
2024-07-10 14:45:00,2944.525,2946.395,2935.33,2936.996,4934577500.0
2024-07-10 15:00:00,2937.081,2940.984,2937.081,2939.364,2061536900.0
2024-07-11 09:45:00,2957.25,2961.91,2947.403,2954.468,7256538500.0
2024-07-11 10:00:00,2954.771,2968.339,2950.255,2965.041,11121865600.0
2024-07-11 10:15:00,2954.771,2968.339,2950.255,2965.041,11121865600.0
2024-07-11 10:30:00,2954.771,2968.339,2950.255,2965.041,11121865600.0
2024-07-11 10:45:00,2954.771,2968.339,2950.255,2965.041,11121865600.0
2024-07-11 11:00:00,2964.952,2965.017,2956.787,2961.992,3974776800.0
2024-07-11 11:15:00,2964.952,2965.017,2956.787,2961.992,3974776800.0
2024-07-11 11:30:00,2964.952,2965.017,2956.787,2961.992,3974776800.0
2024-07-11 13:15:00,2962.542,2965.815,2959.888,2963.038,3364723700.0
2024-07-11 13:30:00,2962.542,2965.815,2959.888,2963.038,3364723700.0
2024-07-11 13:45:00,2962.542,2965.815,2959.888,2963.038,3364723700.0
2024-07-11 14:00:00,2962.769,2971.361,2961.743,2967.93,4817033200.0
