,open,high,low,close,volume
2024-07-09 13:15:00,2922.637,2934.492,2922.637,2927.828,1515821600.0
2024-07-09 13:30:00,2927.831,2937.073,2927.831,2937.073,1351566100.0
2024-07-09 13:45:00,2936.887,2951.774,2936.887,2951.532,2003755000.0
2024-07-09 14:00:00,2952.07,2958.747,2951.932,2955.074,1947193000.0
2024-07-09 14:15:00,2955.208,2963.782,2955.208,2959.185,1719898000.0
2024-07-09 14:30:00,2958.876,2959.955,2955.988,2959.094,1314967000.0
2024-07-09 14:45:00,2959.032,2961.417,2954.653,2955.061,1497307800.0
2024-07-09 15:00:00,2955.539,2959.372,2955.018,2959.372,2059429900.0
2024-07-10 09:45:00,2949.026,2956.35,2947.131,2955.325,6606552000.0
2024-07-10 10:00:00,2955.855,2958.526,2948.049,2948.917,3740609700.0
2024-07-10 10:15:00,2949.584,2953.361,2947.751,2953.314,2470300100.0
2024-07-10 10:30:00,2953.206,2956.005,2953.096,2955.02,1756034300.0
2024-07-10 10:45:00,2955.411,2958.859,2952.872,2954.487,1545170100.0
2024-07-10 11:00:00,2954.581,2956.074,2950.105,2951.839,1569394500.0
2024-07-10 11:15:00,2951.722,2952.347,2945.99,2946.28,1323041300.0
2024-07-10 11:30:00,2946.112,2951.298,2943.765,2949.662,956148300.0
2024-07-10 13:15:00,2949.912,2949.912,2944.55,2946.714,1185505100.0
2024-07-10 13:30:00,2946.859,2947.795,2943.841,2944.449,935273600.0
2024-07-10 13:45:00,2944.421,2947.639,2942.393,2944.89,1070802200.0
2024-07-10 14:00:00,2944.525,2945.044,2940.542,2940.841,1021578200.0
2024-07-10 14:15:00,2940.788,2946.395,2940.557,2943.588,1067247900.0
2024-07-10 14:30:00,2943.439,2944.097,2940.455,2940.476,1095344700.0
2024-07-10 14:45:00,2940.198,2941.475,2935.33,2936.996,1750406700.0
2024-07-10 15:00:00,2937.081,2940.984,2937.081,2939.364,2061536900.0
2024-07-11 09:45:00,2957.25,2961.91,2947.403,2954.468,7256538500.0
2024-07-11 10:00:00,2954.771,2957.554,2950.255,2955.037,3432399600.0
2024-07-11 10:15:00,2954.381,2966.604,2953.629,2966.359,3354788300.0
2024-07-11 10:30:00,2967.075,2968.339,2958.929,2962.574,2442707700.0
2024-07-11 10:45:00,2962.865,2965.507,2961.697,2965.041,1891970000.0
2024-07-11 11:00:00,2964.952,2965.017,2958.503,2962.009,1528173300.0
2024-07-11 11:15:00,2961.654,2961.911,2956.787,2960.741,1361637300.0
2024-07-11 11:30:00,2961.02,2963.834,2959.389,2961.992,1084966200.0
2024-07-11 13:15:00,2962.542,2965.815,2959.888,2965.079,1345944600.0
2024-07-11 13:30:00,2965.025,2965.333,2960.623,2964.936,1023848500.0
2024-07-11 13:45:00,2964.666,2964.868,2960.82,2963.038,994930600.0
2024-07-11 14:00:00,2962.769,2967.408,2961.743,2967.408,1056341800.0
2024-07-11 14:15:00,2967.572,2971.361,2967.4,2967.828,1251773900.0
2024-07-11 14:30:00,2967.743,2969.617,2966.298,2969.018,1063014500.0
2024-07-11 14:45:00,2968.865,2970.904,2967.155,2967.93,1445903000.0
2024-07-11 15:00:00,2967.71,2970.991,2967.104,2970.387,2302304600.0
2024-07-12 09:45:00,2965.612,2975.055,2963.303,2974.276,6721602700.0
2024-07-12 10:00:00,2974.513,2977.142,2972.726,2976.738,3563016500.0
2024-07-12 10:15:00,2976.974,2976.974,2971.503,2972.5,2295408900.0
2024-07-12 10:30:00,2972.555,2974.483,2968.544,2970.018,2306735800.0
2024-07-12 10:45:00,2969.628,2973.327,2969.628,2971.197,1699292300.0
2024-07-12 11:00:00,2971.117,2971.836,2964.085,2966.815,1463735100.0
2024-07-12 11:15:00,2966.811,2968.408,2965.371,2966.275,1133824700.0
2024-07-12 11:30:00,2966.218,2966.764,2963.82,2964.246,901600700.0
2024-07-12 13:15:00,2964.413,2970.954,2964.413,2968.625,1511176200.0
2024-07-12 13:30:00,2968.988,2968.988,2964.99,2966.162,1186324100.0
