Datetime,Open,High,Low,Close,Adj Close,Volume
2024-09-13 16:00:00+00:00,59674.4453125,59778.17578125,59338.3828125,59476.13671875,59476.13671875,0
2024-09-13 17:00:00+00:00,59459.26171875,59927.23828125,59459.26171875,59604.53125,59604.53125,246429696
2024-09-13 18:00:00+00:00,59605.6171875,59859.92578125,59527.72265625,59752.8203125,59752.8203125,19116032
2024-09-13 19:00:00+00:00,59780.4375,60012.1875,59700.98046875,59700.98046875,59700.98046875,0
2024-09-13 20:00:00+00:00,59761.87109375,59977.1640625,59673.390625,59947.96484375,59947.96484375,0
2024-09-13 21:00:00+00:00,59897.2265625,60336.2890625,59897.2265625,60305.37890625,60305.37890625,912025600
2024-09-13 22:00:00+00:00,60316.25390625,60640.19140625,60309.00390625,60638.91015625,60638.91015625,1432641536
2024-09-13 23:00:00+00:00,60636.17578125,60637.890625,60391.91015625,60593.8359375,60593.8359375,530675712
2024-09-14 00:00:00+00:00,60544.2265625,60645.54296875,60430.1171875,60457.49609375,60457.49609375,235257856
2024-09-14 01:00:00+00:00,60453.7265625,60625.2578125,60453.63671875,60453.63671875,60453.63671875,0
2024-09-14 02:00:00+00:00,60448.12109375,60530.56640625,60327.08984375,60328.1796875,60328.1796875,0
2024-09-14 03:00:00+00:00,60329.921875,60454.71875,60329.921875,60379.34375,60379.34375,0
2024-09-14 04:00:00+00:00,60359.734375,60365.07421875,60217.5390625,60217.5390625,60217.5390625,28311552
2024-09-14 05:00:00+00:00,60227.4140625,60255.0546875,59986.16796875,59986.16796875,59986.16796875,175208448
2024-09-14 06:00:00+00:00,59954.7265625,60103.71484375,59930.02734375,60065.46875,60065.46875,124022784
2024-09-14 07:00:00+00:00,60068.87890625,60193.8125,60015.58203125,60168.54296875,60168.54296875,0
2024-09-14 08:00:00+00:00,60165.48046875,60178.71875,59984.23046875,59988.1015625,59988.1015625,0
2024-09-14 09:00:00+00:00,59993.1484375,60073.8125,59921.77734375,60073.8125,60073.8125,0
2024-09-14 10:00:00+00:00,60072.0546875,60072.0546875,59841.1875,59854.38671875,59854.38671875,0
2024-09-14 11:00:00+00:00,59867.2890625,59867.2890625,59637.1484375,59736.859375,59736.859375,0
2024-09-14 12:00:00+00:00,59734.7109375,59859.54296875,59672.5859375,59820.88671875,59820.88671875,0
2024-09-14 13:00:00+00:00,59816.296875,59816.296875,59688.328125,59789.86328125,59789.86328125,0
2024-09-14 14:00:00+00:00,59789.24609375,60016.9296875,59729.68359375,59943.95703125,59943.95703125,0
2024-09-14 15:00:00+00:00,59938.3125,59961.62109375,59844.1796875,59895.89453125,59895.89453125,0
2024-09-14 16:00:00+00:00,59893.10546875,59988.7421875,59870.16015625,59987.828125,59987.828125,0
